Movie_Name,City,Theatre_Name,Ticket_Price,No_of_Tickets_Sold,Total_Revenue,Booking_Date,Release_Date
Tiger 3,Lucknow,Wave Cinemas,447,68,30396,2025-01-01,2025-01-10
Singham Again,Hyderabad,Carnival Cinemas,570,147,83790,2024-12-17,2024-12-25
Guntur Kaaram,Chennai,Carnival Cinemas,382,108,41256,2024-10-19,2024-11-07
Jigra,Bhopal,INOX,333,98,32634,2024-10-12,2024-11-03
The Crew,Kolkata,Carnival Cinemas,237,143,33891,2025-01-05,2025-01-14
Tiger 3,Ahmedabad,Carnival Cinemas,434,15,6510,2024-10-20,2024-11-13
Jigra,Bangalore,Carnival Cinemas,439,76,33364,2024-11-02,2024-11-22
Jigra,Mumbai,PVR,405,191,77355,2025-01-19,2025-02-01
Chandu Champion,Ahmedabad,INOX,511,93,47523,2024-11-10,2024-12-01
Metro In Dino,Chennai,Cinepolis,436,83,36188,2024-11-27,2024-12-14
Chandu Champion,Mumbai,Wave Cinemas,474,155,73470,2024-12-19,2025-01-17
The Crew,Chennai,Carnival Cinemas,520,39,20280,2024-12-08,2024-12-17
War 2,Lucknow,PVR,335,144,48240,2025-02-09,2025-02-25
Metro In Dino,Kolkata,Wave Cinemas,359,22,7898,2025-01-06,2025-01-20
Bade Miyan Chote Miyan,Chennai,Miraj Cinemas,527,49,25823,2024-12-11,2025-01-06
Pushpa 2,Bangalore,INOX,351,18,6318,2025-02-01,2025-02-08
Bhool Bhulaiyaa 3,Delhi,Carnival Cinemas,512,65,33280,2024-11-30,2024-12-29
Pushpa 2,Hyderabad,PVR,204,104,21216,2025-02-11,2025-02-23
Pushpa 2,Indore,Miraj Cinemas,181,165,29865,2024-12-21,2025-01-17
Merry Christmas,Indore,INOX,204,192,39168,2024-11-25,2024-12-16
Dunki,Bangalore,Carnival Cinemas,489,102,49878,2024-11-28,2024-12-11
Guntur Kaaram,Chennai,INOX,491,172,84452,2024-10-28,2024-11-18
Salaar,Bhopal,Wave Cinemas,363,142,51546,2024-12-18,2025-01-03
Dunki,Hyderabad,Cinepolis,520,153,79560,2025-01-23,2025-02-01
Jigra,Indore,Wave Cinemas,490,14,6860,2024-10-13,2024-11-07
Guntur Kaaram,Kolkata,PVR,371,16,5936,2024-11-09,2024-11-16
Chandu Champion,Jaipur,PVR,571,101,57671,2025-02-08,2025-02-17
The Diplomat,Bangalore,Wave Cinemas,212,195,41340,2024-10-08,2024-11-03
Animal,Jaipur,Carnival Cinemas,244,171,41724,2024-11-03,2024-11-16
Salaar,Chandigarh,Cinepolis,265,54,14310,2025-02-03,2025-02-11
Bhool Bhulaiyaa 3,Indore,Miraj Cinemas,372,100,37200,2025-01-23,2025-02-05
The Crew,Pune,PVR,375,47,17625,2025-01-02,2025-01-30
Salaar,Lucknow,Cinepolis,240,167,40080,2024-10-11,2024-11-05
Jigra,Chennai,Miraj Cinemas,441,122,53802,2024-10-18,2024-11-06
Tiger 3,Lucknow,PVR,407,112,45584,2024-11-07,2024-12-04
Animal,Hyderabad,Wave Cinemas,332,119,39508,2025-01-02,2025-01-27
Stree 2,Bhopal,PVR,205,92,18860,2025-01-23,2025-02-09
Bade Miyan Chote Miyan,Pune,Wave Cinemas,424,70,29680,2024-12-18,2024-12-30
Yodha,Jaipur,INOX,504,110,55440,2024-10-23,2024-11-17
Jigra,Chandigarh,Cinepolis,275,162,44550,2024-10-22,2024-11-03
Metro In Dino,Pune,Carnival Cinemas,354,200,70800,2024-11-25,2024-12-04
Singham Again,Mumbai,INOX,597,108,64476,2024-10-20,2024-11-10
Chandu Champion,Kolkata,Miraj Cinemas,413,173,71449,2025-01-02,2025-01-29
Pushpa 2,Kolkata,Wave Cinemas,294,61,17934,2024-11-10,2024-11-18
Yodha,Jaipur,Cinepolis,529,54,28566,2025-01-08,2025-01-23
Animal,Ahmedabad,PVR,437,135,58995,2024-10-18,2024-11-06
Mr. and Mrs. Mahi,Mumbai,Cinepolis,451,184,82984,2024-10-26,2024-11-23
Animal,Chennai,Cinepolis,426,39,16614,2024-11-25,2024-12-24
Stree 2,Ahmedabad,PVR,218,77,16786,2025-01-10,2025-01-26
Bhool Bhulaiyaa 3,Chennai,Cinepolis,392,176,68992,2024-12-02,2024-12-18
Metro In Dino,Chennai,INOX,441,48,21168,2025-01-17,2025-02-05
The Crew,Delhi,Cinepolis,590,22,12980,2025-01-25,2025-02-02
Bade Miyan Chote Miyan,Jaipur,Wave Cinemas,209,106,22154,2025-01-05,2025-01-24
Stree 2,Kolkata,INOX,278,141,39198,2024-11-10,2024-11-18
Sam Bahadur,Ahmedabad,Miraj Cinemas,247,93,22971,2025-02-04,2025-02-26
Sam Bahadur,Indore,INOX,294,199,58506,2024-10-25,2024-11-18
